fecha,local,visitante,sede,neutral,xg_local,xg_visitante,marcador_exacto,prob_marcador_exacto,top3_marcadores,prob_local,prob_empate,prob_visitante,resultado_1x2,prob_over_2_5,prob_ambos_marcan,elo_local,elo_visitante
2026-06-19,Turkey,Paraguay,Santa Clara,True,1.14,1.07,1-1,0.14,1-1 (14.0%); 1-0 (11.9%); 0-0 (11.7%),0.366,0.304,0.33,Local,0.378,0.452,1964.0,1903.0
2026-06-19,Scotland,Morocco,Foxborough,True,0.62,1.23,0-1,0.187,0-1 (18.7%); 0-0 (16.3%); 1-1 (12.6%),0.181,0.314,0.505,Visitante,0.283,0.333,1849.0,1987.0
2026-06-19,Brazil,Haiti,Philadelphia,True,3.63,0.48,3-0,0.131,3-0 (13.1%); 4-0 (11.9%); 2-0 (10.8%),0.917,0.063,0.019,Local,0.777,0.373,2052.0,1694.0
2026-06-19,United States,Australia,Seattle,False,1.24,1.18,1-1,0.137,1-1 (13.7%); 1-0 (10.4%); 0-1 (9.9%),0.369,0.288,0.343,Local,0.435,0.498,1843.0,1895.0
2026-06-20,Netherlands,Sweden,Houston,True,1.99,1.05,1-1,0.105,1-1 (10.5%); 2-1 (9.9%); 2-0 (9.4%),0.586,0.224,0.19,Local,0.587,0.567,2003.0,1774.0
2026-06-20,Tunisia,Japan,Guadalupe,True,0.67,1.28,0-1,0.177,0-1 (17.7%); 0-0 (14.9%); 1-1 (12.8%),0.188,0.306,0.506,Visitante,0.308,0.357,1735.0,1991.0
2026-06-20,Germany,Ivory Coast,Toronto,True,1.68,0.82,1-0,0.132,1-0 (13.2%); 1-1 (11.9%); 2-0 (11.6%),0.573,0.252,0.176,Local,0.457,0.461,2006.0,1817.0
2026-06-20,Ecuador,Curaçao,Kansas City,True,2.1,0.35,2-0,0.19,2-0 (19.0%); 1-0 (17.8%); 3-0 (13.4%),0.785,0.168,0.047,Local,0.444,0.262,2011.0,1602.0
2026-06-21,Belgium,Iran,Inglewood,True,1.56,0.9,1-0,0.128,1-0 (12.8%); 1-1 (12.6%); 2-0 (10.4%),0.524,0.266,0.21,Local,0.446,0.474,1939.0,1890.0
2026-06-21,New Zealand,Egypt,Vancouver,True,0.57,1.16,0-1,0.201,0-1 (20.1%); 0-0 (18.4%); 1-1 (12.3%),0.175,0.327,0.498,Visitante,0.25,0.303,1717.0,1803.0
2026-06-21,Spain,Saudi Arabia,Atlanta,True,2.51,0.42,2-0,0.168,2-0 (16.8%); 3-0 (14.0%); 1-0 (13.1%),0.826,0.132,0.042,Local,0.561,0.32,2208.0,1690.0
2026-06-21,Uruguay,Cape Verde,Miami Gardens,True,1.68,0.44,1-0,0.197,1-0 (19.7%); 2-0 (16.9%); 0-0 (12.4%),0.676,0.236,0.088,Local,0.356,0.295,1959.0,1657.0
